date,product,sales,region,quantity,price,customer_id
15-01-2024,Widget A,$1200.00,North,10,$120.00,C001
01/16/2024,Widget B,800,south,8,100,C002
17-01-2024,widget a,,East,12,$120.00,C001
17-01-2024,widget a,,East,12,$120.00,C001
18-01-2024,Widget C,$2500.00,West,25,$100.00,C003
15-01-2024,Widget B,N/A,South,,100,C002
20-01-2024,Widget A,$1440.00,north,12,120,C004
21-01-2024,Widget D,$50000.00,East,5,$10000.00,C005
22-01-2024,Widget C,$2000.00,West,20,100,C003
23-01-2024,,$900.00,Midwest,9,$100.00,C006
24-01-2024,Widget A,$1080.00,North,9,120,C001
25-01-2024,Widget B,$1600.00,South,16,100,C002
26-01-2024,Widget C,$3000.00,West,30,100,C007
27-01-2024,Widget A,$-500.00,East,-5,100,C008
28-01-2024,widget b,$900.00,SOUTH,9,100,C002
29-01-2024,Widget A,$1320.00,North,11,120,C009
30-01-2024,Widget C,$1500.00,West,15,$100.00,C010
31-01-2024,Widget B,$700.00,south,7,100,C011
01-02-2024,Widget A,$1200.00,North,10,120,C001
02-02-2024,Widget D,$15000.00,East,3,5000,C005
03-02-2024,Widget B,$1100.00,South,11,100,C012
04-02-2024,Widget C,$2200.00,West,22,100,C013
05-02-2024,WIDGET A,$960.00,north,8,120,C014
06-02-2024,Widget B,$500.00,South,5,100,C015
07-02-2024,Widget A,$1560.00,North,13,120,C016
08-02-2024,widget c,$1800.00,WEST,18,100,C017
09-02-2024,Widget B,$1200.00,South,12,100,C018
10-02-2024,Widget A,$1440.00,North,12,120,C019
11-02-2024,Widget D,$75000.00,East,8,$9375.00,C005
12-02-2024,Widget C,$2400.00,West,24,100,C020
